,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
setting_apotheosis_compatmode_spell_evolution_desc,"Turn this setting on if you're playing with the Spell Evolution mod to fix it.\n \nAs far as I can tell, a bug in Spell Evolutions causes it to break if a modded spell \n Uses translation keys for their name and/or description. \n \nUnfortunately there's nothing I can do about this as it's not my mod, \nand I have no intention to remove the translation keys \nas I hope to use them one day in the event \nI'm offered a translation for the mod to another language. \nHowever, I can put a setting in to optionally let you use the spells without \ntranslation keys to get around the issue.","Включите этот параметр, если вы играете с модом Spell Evolution, чтобы исправить ошибки.\n \nНасколько я могу судить, ошибка в Spell Evolutions приводит к тому, что он ломается, если модифицированное заклинание \n использует ключи перевода для своего имени и/или описания. \n \nК сожалению, я ничего не могу с этим поделать, поскольку это не мой мод, \n и у меня нет намерения удалять ключи перевода, \n поскольку я надеюсь использовать их однажды в случае, если мне предложат перевести мод на другие языки. \Однако, я могу сделать настройку, которая позволит вам использовать заклинания без ключей перевода, чтобы обойти эту проблему.",,,,,,,如果你将此模组与Spell Evolution模组同时启用，请开启此选项进行修复。\n \n据我所知，由于Spell Evolutions模组的一个漏洞，模组法术的名字或描述使用翻译关键字会导致游戏崩溃。\n \n遗憾的是，它不是我的模组，我对此无能为力。\n并且我不打算移除翻译关键字，因为我希望有一天能用到它们。\n我提供了一个翻译文档让这个模组能被翻译成另一种语言。\n作为妥协，我设置这个选项，让你在不使用翻译关键字的情况下使用法术，以解决这个问题。,このMODはSpell Evolutionのスペル強化機能に対応しています。\n \nただし、Spell Evolutionには翻訳キーを用いる魔法を強化した際に\n呪文の名前、説明文がおかしくなる不具合が存在します。\n \nこれに関しては作者の側では対応できませんでした。\nかといって、せっかく作って頂いた翻訳キーを消してしまう訳にもいきません。\n \nこの設定は、該当する翻訳キーを用いないようにすることで、\nSpell Evolution側の不具合を回避するためのものです。,,,,
status_apotheosis_duckcurse_name,Duck Curse,Утиное проклятие,,,,,,,鸭子诅咒,アヒルの呪い,,,,
status_apotheosis_duckcurse_desc,Their Quacky visions haunt you,Их утиные взгляды преследуют вас,,,,,,,它们嘎嘎叫的样子缠上了你,アヒルの幻影があなたを襲う！,,,,
status_apotheosis_manadrain_name,Mana Degradation,Разложение маны,,,,,,,法力退失,マナドレイン,,,,
status_apotheosis_manadrain_desc,You are losing Mana Rapidly!!,Вы стремительно теряете ману!!!,,,,,,,你的魔杖快速地失去法力！,マナが吸い尽くされていく！,,,,
status_apotheosis_transmute_name,Unstable Transmutation,Нестабильная трансмутация,,,,,,,不稳物质转换,不安定物質変換,,,,
status_apotheosis_transmute_desc,Your being is transmuting nearby matter uncontrollably!,Ваша сущность бесконтрольно превращается близлежащую материю!,,,,,,,你的存在无法控制地转化附近的物质！,周囲の物質が姿を変えていく！,,,,
1.1.0 content below,#ERROR!,#ERROR!,,,,,,,,,,,,
item_apotheosis_essence_fungus_name,Essence of Fungus,Эссенция грибка,,,,,,,真菌之精粹,キノコのエッセンス,,,,
item_apotheosis_essence_fungus_desc,Your very being is infecting the environment around it!,Сама ваша сущность заражает окружающую среду!,,,,,,,你的存在不断地感染周围的环境！,周囲の環境が姿を変えていく！,,,,
sign_apotheosis_welcome_hint,"Hello and Welcome to Apotheosis! \nAlthough this may seem inconvenient, please take a moment to view the mod settings page in Options > Mod Settings. \nSome mods need compatibility modes enabled, I did I my best but some things are outside my control sadly. Other than that, go nuts and have fun <3","Здравствуйте и добро пожаловать в мод Apotheosis \nХотя это может показаться неубедительным, пожалуйста, уделите время просмотру страницы настроек мода в «Параметры» > «Модификации». \nНекоторые моды требуют включения модов совместимости, я сделал всё возможное, но некоторые вещи, к сожалению, находятся вне моего контроля. В остальном, не сомневайтесь и получайте удовольствие <3",,,,,,,嗨，欢迎游玩 Apotheosis 模组！\n虽然听起来有些麻烦，但请花点时间查看选项->模组设置页面。\n有些模组需要启用兼容模式。我已经尽我所能进行适配了，但很遗憾\n有些东西不是我所能控制的。比起这种事，还请尽情游玩吧 <3,Apotheosis MODへようこそ！\nプレイする前に、まずMOD設定を確認してください。\n他MODとの連携要素は、設定から有効化しないと使えない場合があります。,,,,
sign_apotheosis_aprilfools_intro,Happy April Fools <3,Счастливого дня смеха <3,,,,,,,愚人节快乐 <3,エイプリルフール！,,,,
status_apotheosis_trip_red_00_name,Blazed,Ломка,,,,,,,发烧,酩酊,,,,
status_apotheosis_trip_red_00_desc,You feel dizzy.,Вы чувствуете головокружение.,,,,,,,你感到头晕。,頭がフワフワしてきた。,,,,
status_apotheosis_trip_red_01_name,Somewhat Blazed,Небольшая ломка,,,,,,,发热,ちょっとトリップ,,,,
status_apotheosis_trip_red_01_desc,You feel interlinked with Yggdrasil.,Вы чувствуете связь с Иггдрасилем.,,,,,,,你感觉自己和世界树相连接。,ユグドラシルとの繋がりを感じる。,,,,
status_apotheosis_trip_red_02_name,Really Blazed,Сильная ломка,,,,,,,严重发热,スーパートリップ,,,,
status_apotheosis_trip_red_02_desc,You feel a pleasant burning sensation build up inside you.,"Вы чувствуете, как внутри вас нарастает приятное жжение.",,,,,,,你感到一股美妙的燃烧感在体内积累。,身体の中が熱く燃え盛るように感じる。,,,,
status_apotheosis_trip_red_03_name,Blazed as Hell,Чертовски сильная ломка,,,,,,,极度发热,ハイパートリップ,,,,
status_apotheosis_trip_red_03_desc,Usual concepts don't apply.,Обычные понятия неприменимы.,,,,,,,通常的概念已经不再适用。,宇宙の法則が乱れる！,,,,
item_apotheosis_fungus_stone_name,Sienenkivi,Сененкиви,,,,,,,真菌石,シエネンキヴィ,,,,
item_apotheosis_fungus_stone_desc,You feel the world transforming in the palm of your hand.,"Вы чувствуете, как мир преображается у вас на ладони.",,,,,,,你感觉世界在你的手中变换。,腕の中で世界が作り替えられていくような感覚がする。,,,,
item_apotheosis_chest_portals,Dimensional Chest,Пространственный сундук,,,,,,,维度宝箱,高次元チェスト,,,,
item_apotheosis_chest_volcanic,Volcanic Chest,Вулканический сундук,,,,,,,火山宝箱,火山のチェスト,,,,
status_apotheosis_haste_name,Haste,Спешка,,,,,,,急速,電光石火,,,,
status_apotheosis_haste_desc,You feel faster,Вы чувствуете себя быстрее,,,,,,,你感觉变快了,スピードが上がっている。,,,,
material_apotheosis_meat_mana,Enchanting Meat,Очаровательное мясо,,,,,,,带有魔力的肉,魔法の肉,,,,
material_apotheosis_smoke_static_slowburn_name,Dense Smoke,Плотный дым,,,,,,,浓烟,厚い煙,,,,
material_apotheosis_meat_fire_lukki,Infernal Meat,Адское мясо,,,,,,,地狱的肉,地獄の肉,,,,
material_apotheosis_meat_fire_lukki_rock,Brimstone,Сера,,,,,,,硫磺,硫黄,,,,
material_apotheosis_mudman_mud,Magical Mud,Волшебный ил,,,,,,,魔法淤泥,魔法の泥,,,,
material_apotheosis_knowledge_of_kings,Yggdrasil's Knowledge,Знания Иггдрасиля,,,,,,,世界树的圣理,ユグドラシルの智慧,,,,
spell_apotheosis_targetter_name,Targetter,Целеуказатель,,,,,,,众矢之的,ロックオン,,,,
spell_apotheosis_targetter_desc,Fire a projectile which causes irresistible hatred towards anything it hits,"Выпускает снаряд, который вызывает непреодолимую ненависть ко всему, во что попадает",,,,,,,将万千仇恨施加于目标的法术,この放射物に当たった敵は、周囲の生物全てから敵対される。,,,,
spell_apotheosis_firecharge_name,Fire Charge,Огненный заряд,,,,,,,火焰放射,ファイアーチャージ,,,,
spell_apotheosis_firecharge_desc,"Imbues a projectile with a fiery charge, that it will release on impact","Наделяет снаряд огненным зарядом, который он выпустит при ударе",,,,,,,令投射物在击中时散发火焰放射,炎の力を放射物に込める。着弾すると力が解放される。,,,,
spell_apotheosis_knowledge_of_kings_name,The Knowledge of Kings,Знание королей,,,,,,,王者的真理,王たちの智慧,,,,
spell_apotheosis_knowledge_of_kings_desc,Casting this spell causes something irreversibly permanent to occur,Использовании этого заклинания происходит нечто необратимо постоянное,,,,,,,施放这个法术会导致一些永远无法逆转的事情发生,非可逆的な何かが起きる。,,,,
